"Province_State","year_month","Lat","Long_","Confirmed","Deaths","Incident_Rate","Total_Test_Results","Case_Fatality_Ratio","Testing_Rate"
"Alabama","2020-04",32.3182,-86.9023,5338.44444444444,173.444444444444,108.87707570578,390124.887246349,2.33660108398446,1504.22944129006
"Alabama","2020-05",32.3182,-86.9023,11822.1935483871,454.193548387097,241.11253294312,473206.807289124,2.40953265930267,3421.65072962477
"Alabama","2020-06",32.3182,-86.9023,26415.3666666667,779.233333333333,538.738935338289,679581.377006339,2.26044426594434,6174.71275008152
"Alabama","2020-07",32.3182,-86.9023,60940.2903225806,1219.54838709677,1242.87152784528,1229646.9587496,1.95859093827149,12178.9984876108
"Alabama","2020-08",32.3182,-86.9023,107094.451612903,1880.03225806452,2184.18133545651,1729772.17948287,1.89895454501869,18946.942781573
"Alabama","2020-09",32.3182,-86.9023,139550.833333333,2368.66666666667,2846.1262084407,2081930.75063667,1.77931186288812,28533.2283706031
"Alabama","2020-10",32.3182,-86.9023,171376.903225806,2730.22580645161,3495.21593057995,2219626.69673822,1.71421679999223,39533.7682786511
"Alabama","2020-11",32.3182,-86.9023,217968.533333333,3264.23333333333,4445.44787384798,2700373.99202449,1.51738277164092,53160.364472878
"Alabama","2020-12",32.3182,-86.9023,303290.774193548,4212.1935483871,6185.58700504975,3474381.39105035,1.39243406829161,69533.8970886328
"Alabama","2021-01",32.3182,-86.9023,413561.290322581,5932.70967741936,8434.54387959215,4107882.2710521,1.42760570894025,76913.4558183007
"Alabama","2021-02",32.3182,-86.9023,478660.535714286,9022.92857142857,9762.23690752614,4788954.15364384,1.88304485669558,79013.8255329749
"Alabama","2021-03",32.3182,-86.9023,505790.387096774,10303.1612903226,10315.5476918936,5416269.81978421,2.03693351516943,90921.9028733122
"Alabama","2021-04",32.3182,-86.9023,521160.5,10738.8333333333,10629.019708618,6270522.85306621,2.06054305954404,96516.8047970193
"Alabama","2021-05",32.3182,-86.9023,536404.387096774,11027.935483871,10939.9173618122,6615795.82005823,2.05599091284116,99043.276787938
"Alabama","2021-06",32.3182,-86.9023,547627.166666667,11266.6,11168.8049026636,6699235.05461212,2.05733639982319,100047.740350452
"Alabama","2021-07",32.3182,-86.9023,560301.870967742,11427.2580645161,11427.3043127629,6806930.50468186,2.03983838104182,102976.97682722
"Alabama","2021-08",32.3182,-86.9023,635818.032258064,11820.1612903226,12967.4493672595,6957246.6213551,1.86224130320679,113745.855970563
"Alabama","2021-09",32.3182,-86.9023,753358.1,13031.2666666667,15364.6680677968,7744696.60212637,1.72923062656535,133141.241977882
"Alabama","2021-10",32.3182,-86.9023,812799.064516129,15026.6774193548,16576.9609858924,9633144.08962293,1.8484846661793,150970.488461159
"Alabama","2021-11",32.3182,-86.9023,839514.266666667,15939.7666666667,17121.8150379124,9800349.84227622,1.89863964403905,147977.368888661
"Alabama","2021-12",32.3182,-86.9023,857604.612903226,16298.935483871,17490.7659593351,9976758.22480075,1.90066294158359,149168.014721191
"Alabama","2022-01",32.3182,-86.9023,1043246,16704.8387096774,21276.9047058188,10535076.1126733,1.61420161367939,171687.868419797
"Alabama","2022-02",32.3182,-86.9023,1258512.46428571,17653.2857142857,25667.2441338786,12244060.3360137,1.40264008893036,210606.289251124
"Alabama","2022-03",32.3182,-86.9023,1288811.35483871,18863.1612903226,26285.1871760643,12117915.2293907,1.46354432976082,202255.19125851
"Alabama","2022-04",32.3182,-86.9023,1297782.9,19449.2,26468.1610014715,11975619.6045746,1.49864209707458,191673.326804176
"Alabama","2022-05",32.3182,-86.9023,1305930.51612903,19622.6129032258,26634.3308712405,11996919.8651811,1.50258394901046,193001.408421944
"Alabama","2022-06",32.3182,-86.9023,1331832.5,19696.0333333333,27162.5994124153,12139683.4373204,1.47897044005012,203230.618578591
"Alabama","2022-07",32.3182,-86.9023,1389285.12903226,19822.4838709677,28334.3404140831,12860879.5275507,1.42709772127656,234903.677916041
"Alabama","2022-08",32.3182,-86.9023,1452474.03225806,20004.4838709677,29623.0721920153,13104489.280687,1.3774474673867,236018.439068344
"Alabama","2022-09",32.3182,-86.9023,1506712.2,20276.0666666667,30729.2545559672,13171180.7610182,1.34573448625956,238766.559224818
"Alabama","2022-10",32.3182,-86.9023,1528075.29032258,20494.8709677419,31164.9527872715,13144395.7164102,1.34122268012794,237850.226941477
"Alabama","2022-11",32.3182,-86.9023,1539870.86666667,20598.8,31405.5224648196,13170327.8148277,1.33770148679271,237511.122421384
"Alabama","2022-12",32.3182,-86.9023,1559705.74193548,20697.935483871,31810.0528928744,13126400.2943251,1.3270624532225,237231.534760319
"Alabama","2023-01",32.3182,-86.9023,1594928.83870968,20814.9032258065,32528.4246609026,13160125.5285202,1.30512980988067,238073.683754872
"Alabama","2023-02",32.3182,-86.9023,1628409.42857143,20899.0357142857,33211.2581632435,13054304.6716221,1.28342953730095,231897.087557193
"Alabama","2023-03",32.3182,-86.9023,1642184.8,21000.3,33492.2055765793,13062518.5322837,1.27880218700354,230686.883272859
"Alaska","2020-04",61.3707,-152.4044,320,8.88888888888889,43.7430369970405,356715.88361792,1.38836826826396,1978.08779268829
"Alaska","2020-05",61.3707,-152.4044,391,9.80645161290323,53.4485233307589,392143.296232227,1.47484095507687,4908.63049894084
