"CODE","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","YEAR","STATE"
"0010012020","7.44","10.37","6.18","7.1","3.64","5.16","5.3","5.78","6","5.11","2.75","3.84","2020","Alabama"
"0010012021","3.72","4.22","8.05","5.55","4.69","8.73","7.49","7.43","4.83","4.6","1.19","4.66","2021","Alabama"
"0010012022","4.83","5.66","7.15","5.56","5","3.3","5.71","6.41","2.22","2.71","4.83","4.48","2022","Alabama"
"0020012020","0.45","1.1","2.38","0.36","0.11","0.04","0.71","0.6","0.11","0.14","0.27","0.29","2020","Arizona"
"0020012021","1.31","0.23","0.73","0.19","0.04","0.22","3.82","2.18","1.29","0.74","0.05","1.77","2021","Arizona"
"0020012022","0.3","0.4","0.58","0.02","0","0.7","2.27","3.24","1.45","1.22","0.43","1.48","2022","Arizona"
"0030012020","6.15","5.79","7.39","6.11","6.94","4.67","3.64","6.74","5.65","4.42","1.94","4.38","2020","Arkansas"
"0030012021","4.12","3.4","6.15","5.54","6.73","4.87","4.72","3.02","1.87","4.21","2.12","3.48","2021","Arkansas"
"0030012022","3.39","4.41","5.75","6.48","6.46","3.36","3.17","4.42","1.26","3.24","4.51","5.19","2022","Arkansas"
"0040012020","2.06","0.21","3.19","1.99","1.2","0.16","0.05","0.1","0.04","0.05","1.19","1.83","2020","California"
"0040012021","3.65","1.39","1.73","0.29","0.11","0.14","0.29","0.1","0.36","3.66","0.95","6.26","2021","California"
"0040012022","0.45","0.24","1.05","1.72","0.3","0.44","0.13","0.4","0.84","0.17","2.03","6.38","2022","California"
"0050012020","0.72","1.09","1.35","0.8","1.07","1.15","1.85","0.8","0.97","0.62","0.85","0.96","2020","Colorado"
"0050012021","0.74","1.11","2.07","1.01","2.99","1.19","2.15","1.4","1.23","1.12","0.37","1.72","2021","Colorado"
"0050012022","0.78","0.94","1.44","0.72","1.6","1.41","2.85","1.92","1.21","1.13","0.91","1.58","2022","Colorado"
"00100012020","3.96","2.12","2.01","1.44","2.45","2.99","0.43","0.25","0.68","1.52","2.43","1.91","1202","Connecticut"
"00100012021","2.33","3.06","1.18","0.86","1.38","0.56","0.58","1.24","0.84","2.9","2.17","3.91","1202","Connecticut"
"00100012022","2.31","0.91","1.44","2.34","3.23","2.08","0.26","0.71","0.99","1.25","2.9","3.61","1202","Connecticut"
"00110012020","4.36","2.01","3.95","4.32","5.28","3.61","5.61","1.91","3.26","2.97","2.95","1.71","1202","Delaware"
"00110012021","2.46","1.67","3.97","3.04","4.31","5.17","4.97","3.73","2.29","6.02","0.86","2.52","1202","Delaware"
"00110012022","1.05","3.13","4.35","3.55","4.09","2.72","5.28","4.07","2.54","2.22","1.82","2.39","1202","Delaware"
"00120012020","4.65","2.81","4.62","3.05","5.07","3.52","4.58","3.31","1.53","4.44","3.02","1.8","1202","Florida"
"00120012021","2.45","2.21","3.82","2.94","3.72","5.93","5.44","3.42","4.06","6.04","1.43","4","1202","Florida"
"00120012022","1.68","4.53","4.02","3.3","5.06","2.35","5.49","3.83","2.26","1.79","1.6","2.28","1202","Florida"
"00130012020","1.41","0.43","2.91","1.65","4.57","4.95","2.93","1.23","4.07","1.9","2.09","1.14","1202","Georgia"
"00130012021","1.24","0.79","2.78","1.51","3.85","3.35","4.01","4.65","1.81","5","0.98","0.87","1202","Georgia"
"00130012022","0.78","0.28","2.65","3.22","3.59","3.53","3.23","3.49","1.9","0.92","2.04","1.68","1202","Georgia"
"00140012020","1.33","1.29","2.06","1.37","4.09","2.73","6.32","1.68","1.65","1.09","1.31","0.93","1202","Idaho"
"00140012021","1.38","0.22","4.04","1.51","5.56","2.8","2.8","2.53","2.77","3.05","0.39","0.2","1202","Idaho"
"00140012022","0.37","0.37","2.16","0.98","5.35","3.47","3.01","1.23","1.36","0.71","1.49","0.73","1202","Idaho"
"00150012020","4.47","6.42","6.84","4.95","5.58","5.16","5.22","5.14","3.98","4.63","2.23","3.49","1202","Illinois"
"00150012021","4.12","4.51","6.78","3.08","3.57","5.02","6.2","5.28","4.23","4.38","1.98","4.24","1202","Illinois"
"00150012022","5.3","6.42","3.4","4.39","4.86","2.7","8.03","4.57","1.92","1.4","2.58","3.73","1202","Illinois"
"00160012020","7.54","5.83","3.85","6.34","5.67","5.33","6.96","6.3","4.24","6.1","3.57","5.23","1202","Indiana"
"00160012021","3.52","4.23","5.33","8.57","11.38","6.75","6.79","6.19","6.91","2.56","1.33","2.72","1202","Indiana"
"00160012022","2.5","2.98","5.87","3.51","4.94","2.75","5.48","10.41","1.89","1.38","6.81","6.85","1202","Indiana"
"00170012020","3.06","2.85","2.7","4.17","2.62","2.29","3.85","2.81","1","6.12","3.83","5.33","1202","Iowa"
"00170012021","1.89","2.9","1.98","3.24","2.74","2.22","5.46","2.66","6.46","3.78","3.28","3.14","1202","Iowa"
"00170012022","2.34","3.91","3.33","4.46","2.82","3.28","4.48","4.95","4.62","5.69","4.48","5.51","1202","Iowa"
"00180012020","3.04","3.19","2.92","4.88","3.06","3.61","4.37","8.94","4.02","4.64","4.76","5.41","1202","Kansas"
"00180012021","2.07","4.34","3.42","2.75","3.4","3.79","4.34","5.84","6.09","3.46","0.98","1.09","1202","Kansas"
"00180012022","3.84","2.14","2.84","3.83","5.64","3.59","4.82","3.23","3.28","3.54","2.92","4.46","1202","Kansas"
"00190012020","1.83","3.31","3.72","5.36","2.5","2.53","2.93","2.7","2.18","5.17","3.8","6.37","1202","Kentucky"
"00190012021","2.27","3.21","2.19","4.34","5.14","2.49","10.41","5.17","7.48","6.76","2.29","3.07","1202","Kentucky"
"00190012022","2.85","4.97","3.01","4.1","2.23","2.74","2.15","2.56","5.65","4.66","3.22","5.39","1202","Kentucky"
"00200012020","2.84","1.03","2.83","3.01","4.06","3.09","3.93","3.83","3.08","3.75","2.17","1.69","1202","Louisiana"
"00200012021","1.05","1.28","1.6","2.08","2.03","4.93","4.14","3.94","3.64","3.89","1.76","2.54","1202","Louisiana"
