"CODE","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","YEAR","STATE"
"0010022020","49.50","51.00","63.5","62","68.9","76.9","80.9","80.2","74.3","66.9","58.4","45.9","2020","Alabama"
"0010022021","46.60","46.70","59.6","61.6","69.4","77","79.3","80","73.9","67.3","52.2","56.8","2021","Alabama"
"0010022022","43.90","50.10","57.4","62.5","73.5","80.3","81.7","79.3","73.8","61.2","55.4","49.1","2022","Alabama"
"0020022020","43.70","45.90","51","59.3","70.5","76.8","82.8","84.1","75.6","66.2","53.5","42","2020","Arizona"
"0020022021","42.60","46.50","49.4","61.2","67.9","80.6","81.5","79.5","74.8","59.9","55.8","45.6","2021","Arizona"
"0020022022","43.70","44.20","51.8","60.8","68.6","78.5","82","78.7","75.6","61.6","46.1","42.9","2022","Arizona"
"0030022020","43.90","44.50","56.5","58.8","66.8","76.4","81.3","77.8","71.8","59.4","54","42.6","2020","Arkansas"
"0030022021","41.40","34.80","55.2","58.4","66.8","76.9","79.3","80.7","74.3","65.5","49.4","53.4","2021","Arkansas"
"0030022022","38.70","42.20","52.1","59.8","71","78.2","84.1","79.4","73.8","61.3","49.8","43.3","2022","Arkansas"
"0040022020","45.30","49.20","48","56.6","64.6","70.4","76.6","78.9","74","66.2","50.9","45.5","2020","California"
"0040022021","45.50","47.40","48.2","58.2","64.5","74.9","79.8","77","72.2","58.2","54.8","43.5","2021","California"
"0040022022","46.60","48.00","53.1","55.9","62.3","72.1","77.6","78.3","73.6","64.1","46.5","43.1","2022","California"
"0050022020","27.40","26.40","38.8","43.4","55.6","65","69.3","70.1","58.8","47.1","38.5","26.7","2020","Colorado"
"0050022021","26.70","24.80","35.8","43.1","52.9","65.7","70","67.4","62.4","47.8","40.7","32.4","2021","Colorado"
"0050022022","26.50","24.90","34.9","43.7","53.3","64.3","70.2","67.8","62.5","47.6","31.3","25.6","2022","Colorado"
"0060022020","33.00","33.90","41.4","44.4","56.4","68.4","75.6","72.6","63.5","53.2","45.4","33.6","2020","Connecticut"
"0060022021","29.20","28.50","39.3","48.7","57.8","69.2","71.1","72.8","65.2","56.8","41","37","2021","Connecticut"
"0060022022","24.30","30.80","39.1","47.7","60.8","66.4","74.3","74.6","63.7","52.5","45.2","33.6","2022","Connecticut"
"0070022020","40.20","41.90","49.5","51.8","60.6","73.7","80.7","77.2","68.7","60","51.8","39.7","2020","Delaware"
"0070022021","36.20","35.60","47.6","55.3","63.3","73.8","77.7","76.9","70.1","63.2","45.1","44","2021","Delaware"
"0070022022","31.60","39.10","46.9","53.2","64.5","71.8","78.5","77.7","68.8","55.3","49.5","37.5","2022","Delaware"
"0080022020","61.80","63.60","71","73.1","75.8","81","83","83.2","80.6","77.2","70.8","57.6","2020","Florida"
"0080022021","58.70","63.70","67.8","69.9","76.1","80.7","81.9","82.6","79.7","75.3","63.4","66.5","2021","Florida"
"0080022022","57.50","63.10","68.4","71.7","77.6","81.9","83","82.8","79.8","71.7","69.7","61.3","2022","Florida"
"0090022020","51.40","51.90","63.1","63.1","69.4","76.9","81.5","80.4","74.3","68.5","60.4","46.4","2020","Georgia"
"0090022021","47.70","49.50","59.9","62.1","69.4","77","79.3","80","73.8","67.2","52.7","56.6","2021","Georgia"
