Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-06-26 04:33:54,32.3182,-86.9023,33880,896,18866,14118.0,1,690.979434795954,,2612,,84000001.0,USA,,7.866048304523279,2020-06-25,539932,2.644628099173554
Alaska,US,2020-06-26 04:33:54,61.3707,-152.4044,830,12,513,305.0,2,113.45850221107382,,,,84000002.0,USA,13594.789110717727,,2020-06-25,99452,1.4457831325301205
American Samoa,US,2020-06-26 04:33:54,-14.271,-170.132,0,0,,,60,0.0,,,,16.0,ASM,1250.8761524774895,,2020-06-25,696,
Arizona,US,2020-06-26 04:33:54,33.7298,-111.4312,63281,1495,8139,53647.0,4,869.3977249012429,,4406,,84000004.0,USA,6377.442617977867,6.962595407784327,2020-06-25,662473,2.362478469050742
Arkansas,US,2020-06-26 04:33:54,34.9697,-92.3731,18062,240,12127,5695.0,5,598.5146815366405,,1245,,84000005.0,USA,9191.4517973997,6.892924371608903,2020-06-25,277380,1.328756505370391
California,US,2020-06-26 04:33:54,36.1162,-119.6816,206574,5727,,,6,522.4585819937289,,,,84000006.0,USA,9349.87889696816,,2020-06-25,3694345,2.768425896771381
Colorado,US,2020-06-26 04:33:54,39.0598,-105.3111,34502,1708,4392,25418.0,8,546.6303716648931,,5375,,84000008.0,USA,5141.145556941662,17.08355846549916,2020-06-25,296065,5.301947329966009
Connecticut,US,2020-06-26 04:33:54,41.5978,-72.7554,45994,4298,8053,33643.0,9,1290.050422308218,,10268,,84000009.0,USA,11470.12849175957,22.324651041440188,2020-06-25,408943,9.344697134408836
Delaware,US,2020-06-26 04:33:54,39.3185,-75.5071,10980,559,6646,3775.0,10,1127.5832747975896,135924.0,,,84000010.0,USA,1.3958618309980651e-06,,2020-06-25,100992,5.091074681238616
Diamond Princess,US,2020-06-26 04:33:54,,,49,0,,,88888,,,,,84088888.0,USA,,,2020-06-25,,0.0
District of Columbia,US,2020-06-26 04:33:54,38.8974,-77.0268,10159,543,1182,8434.0,11,1439.463605332774,,,,84000011.0,USA,12289.213303879991,,2020-06-25,86731,5.345014273058372
Florida,US,2020-06-26 04:33:54,27.7663,-81.6868,114018,3327,,,12,530.8659846239852,,14068,,84000012.0,USA,12409.29153755817,12.338402708344296,2020-06-25,2665235,2.9179603220544124
Georgia,US,2020-06-26 04:33:54,33.0406,-83.6431,71095,2745,,,13,669.6069281594978,,10457,,84000013.0,USA,7138.493022271035,14.708488641957944,2020-06-25,757924,3.8610310148393
Grand Princess,US,2020-06-26 04:33:54,,,103,3,,,99999,,,,,84099999.0,USA,,,2020-06-25,,2.912621359223301
Guam,US,2020-06-26 04:33:54,13.4443,144.7937,231,5,174,52.0,66,140.65725298211643,,,,316.0,GUM,6952.487075973184,,2020-06-25,11418,2.1645021645021645
Hawaii,US,2020-06-26 04:33:54,21.0943,-157.4983,851,17,686,148.0,15,60.10430321384984,,105,,84000015.0,USA,5080.614631831126,12.338425381903642,2020-06-25,71935,1.9976498237367804
Idaho,US,2020-06-26 04:33:54,44.2405,-114.4788,4865,90,3610,1165.0,16,272.2340821402691,,300,,84000016.0,USA,4506.775075333018,6.166495375128469,2020-06-25,80539,1.8499486125385407
Illinois,US,2020-06-26 04:33:54,40.3495,-88.9861,139434,6810,,,17,1100.3469824897306,,,,84000017.0,USA,11533.677756338257,,2020-06-25,1461527,4.884031154524721
Indiana,US,2020-06-26 04:33:54,39.8494,-86.2583,43655,2518,33036,8101.0,18,648.4488992410971,569065.0,6912,,84000018.0,USA,8.452859302408315e-07,15.83323788798534,2020-06-25,444252,5.767953269957622
Iowa,US,2020-06-26 04:33:54,42.0115,-93.2105,27373,696,17017,9660.0,19,867.5877238856824,,,,84000019.0,USA,8781.231478223937,,2020-06-25,277054,2.5426515179191176
Kansas,US,2020-06-26 04:33:54,38.5266,-96.7265,13107,262,747,12098.0,20,449.90001077810354,,1082,,84000020.0,USA,5550.551708466715,8.255130846112765,2020-06-25,161705,1.998931868467232
Kentucky,US,2020-06-26 04:33:54,37.6681,-84.6701,14617,546,3719,10352.0,21,327.17255716790373,,2584,,84000021.0,USA,7674.733580546293,17.67804611069303,2020-06-25,342882,3.735376616268728
Louisiana,US,2020-06-26 04:33:54,31.1695,-91.8678,53415,3164,39792,10459.0,22,1149.00767812039,,,,84000022.0,USA,14211.535292809274,,2020-06-25,660665,5.923429748198072
Maine,US,2020-06-26 04:33:54,44.6939,-69.3819,3070,103,2512,455.0,23,228.3865937813381,,343,,84000023.0,USA,6516.68040457904,11.172638436482083,2020-06-25,87598,3.3550488599348536
Maryland,US,2020-06-26 04:33:54,39.0639,-76.8021,65777,3129,4874,57774.0,24,1088.0000264651785,597909.0,10683,,84000024.0,USA,9.889855235473926e-07,16.24123933897867,2020-06-25,498959,4.756981923772748
