Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-12-16 04:32:31,32.3182,-86.9023,1561557,20704,,,1.0,31847.809128148336,,,1.3258561807221894,84000001.0,USA,,
Alaska,US,2022-12-16 04:32:31,61.3707,-152.4044,300719,1436,,,2.0,41107.382320978206,,,0.4775222051150742,84000002.0,USA,,
American Samoa,US,2022-12-16 04:32:31,-14.271,-170.132,8265,34,,,60.0,14854.154310670188,,,0.411373260738052,16.0,ASM,,
Arizona,US,2022-12-16 04:32:31,33.7298,-111.4312,2365080,31929,,,4.0,32493.08909798252,,,1.3500177583844943,84000004.0,USA,,
Arkansas,US,2022-12-16 04:32:31,34.9697,-92.3731,977088,12654,,,5.0,32377.450623035824,,,1.295072705836117,84000005.0,USA,,
California,US,2022-12-16 04:32:31,36.1162,-119.6816,11708898,97936,,,6.0,29575.11907138204,,,0.8388737532183327,84000006.0,USA,,
Colorado,US,2022-12-16 04:32:31,39.0598,-105.3111,1723249,13751,,,8.0,29924.084035107702,,,0.797969417072054,84000008.0,USA,,
Connecticut,US,2022-12-16 04:32:31,41.5978,-72.7554,936976,11659,,,9.0,26280.52103519296,,,1.2443221597991838,84000009.0,USA,,
Delaware,US,2022-12-16 04:32:31,39.3185,-75.5071,319477,3185,,,10.0,32808.462830829645,,,0.9969418768800258,84000010.0,USA,,
Diamond Princess,US,2022-12-16 04:32:31,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-12-16 04:32:31,38.8974,-77.0268,172626,1407,,,11.0,24459.970896168463,,,0.8150568280560286,84000011.0,USA,,
Florida,US,2022-12-16 04:32:31,27.7663,-81.6868,7290073,83380,,,12.0,33942.46330514244,,,1.1437471202277398,84000012.0,USA,,
Georgia,US,2022-12-16 04:32:31,33.0406,-83.6431,2963232,41244,,,13.0,27909.145185229976,,,1.3918586192373732,84000013.0,USA,,
Grand Princess,US,2022-12-16 04:32:31,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-12-16 04:32:31,13.4443,144.7937,59574,410,,,66.0,36274.95752881647,,,0.688219693154732,316.0,GUM,,
Hawaii,US,2022-12-16 04:32:31,21.0943,-157.4983,369914,1748,,,15.0,26126.23174976269,,,0.4725422665808809,84000015.0,USA,,
Idaho,US,2022-12-16 04:32:31,44.2405,-114.4788,509199,5287,,,16.0,28493.591447429164,,,1.0382974043546829,84000016.0,USA,,
Illinois,US,2022-12-16 04:32:31,40.3495,-88.9861,3927562,40477,,,17.0,30994.45612434077,,,1.0305884413791555,84000017.0,USA,,
Indiana,US,2022-12-16 04:32:31,39.8494,-86.2583,1987017,25303,,,18.0,29515.03805803109,,,1.2734163824466525,84000018.0,USA,,
Iowa,US,2022-12-16 04:32:31,42.0115,-93.2105,880770,10343,,,19.0,27916.020880677766,,,1.1743133848791398,84000019.0,USA,,
Kansas,US,2022-12-16 04:32:31,38.5266,-96.7265,910137,9702,,,20.0,31252.003731832545,,,1.0656046499111995,84000020.0,USA,,
Kentucky,US,2022-12-16 04:32:31,37.6681,-84.6701,1646271,17580,,,21.0,36848.51151818855,,,1.0678679269694966,84000021.0,USA,,
Louisiana,US,2022-12-16 04:32:31,31.1695,-91.8678,1482269,18324,,,22.0,31885.02222296793,,,1.2362128601488664,84000022.0,USA,,
Maine,US,2022-12-16 04:32:31,44.6939,-69.3819,304098,2777,,,23.0,22622.770812937244,,,0.913192457694559,84000023.0,USA,,
Maryland,US,2022-12-16 04:32:31,39.0639,-76.8021,1302774,15841,,,24.0,21548.84148681373,,,1.2159438244852907,84000024.0,USA,,
Massachusetts,US,2022-12-16 04:32:31,42.2302,-71.5301,2134100,22683,,,25.0,30962.62707466359,,,1.0628836511878543,84000025.0,USA,,
Michigan,US,2022-12-16 04:32:31,43.3266,-84.5361,2963404,40508,,,26.0,29673.03927551981,,,1.3669415307531474,84000026.0,USA,,
Minnesota,US,2022-12-16 04:32:31,45.6945,-93.9002,1725293,14220,,,27.0,30592.297511610686,,,0.8242078302062317,84000027.0,USA,,
Mississippi,US,2022-12-16 04:32:31,32.7416,-89.6787,946657,13063,,,28.0,31808.118477939108,,,1.3799084568117068,84000028.0,USA,,
Missouri,US,2022-12-16 04:32:31,38.4561,-92.2884,1717132,22151,,,29.0,27978.03900917453,,,1.2899998369374048,84000029.0,USA,,
Montana,US,2022-12-16 04:32:31,46.9219,-110.4544,320156,3610,,,30.0,29955.332164397096,,,1.1275753070378192,84000030.0,USA,,
Nebraska,US,2022-12-16 04:32:31,41.1254,-98.2681,549490,4675,,,31.0,28406.1066744968,,,0.850788913356021,84000031.0,USA,,
Nevada,US,2022-12-16 04:32:31,38.3135,-117.0554,871644,11677,,,32.0,28298.696559524906,,,1.3396524269082333,84000032.0,USA,,
New Hampshire,US,2022-12-16 04:32:31,43.4525,-71.5639,364282,2839,,,33.0,26791.50201770817,,,0.7793305827548059,84000033.0,USA,,
New Jersey,US,2022-12-16 04:32:31,40.2989,-74.521,2885987,35311,,,34.0,32491.84041323142,,,1.223532884936765,84000034.0,USA,,
New Mexico,US,2022-12-16 04:32:31,34.8405,-106.2485,654580,8761,,,35.0,31217.61478880729,,,1.3384154725167283,84000035.0,USA,,
