"Month","Year","State","Indicator","Value"
"Aug",2020,"Alabama","Symptoms of Anxiety Disorder",30.6
"Dec",2020,"Alabama","Symptoms of Anxiety Disorder",35.8
"Jul",2020,"Alabama","Symptoms of Anxiety Disorder",36.4
"Jun",2020,"Alabama","Symptoms of Anxiety Disorder",32.32
"May",2020,"Alabama","Symptoms of Anxiety Disorder",24.675
"Nov",2020,"Alabama","Symptoms of Anxiety Disorder",37.7
"Oct",2020,"Alabama","Symptoms of Anxiety Disorder",29.65
"Sep",2020,"Alabama","Symptoms of Anxiety Disorder",32.25
"Apr",2021,"Alabama","Symptoms of Anxiety Disorder",29.8
"Aug",2021,"Alabama","Symptoms of Anxiety Disorder",30.2333333333333
"Dec",2021,"Alabama","Symptoms of Anxiety Disorder",27
"Feb",2021,"Alabama","Symptoms of Anxiety Disorder",35.85
"Jan",2021,"Alabama","Symptoms of Anxiety Disorder",36.8
"Jul",2021,"Alabama","Symptoms of Anxiety Disorder",31
"Jun",2021,"Alabama","Symptoms of Anxiety Disorder",26.05
"Mar",2021,"Alabama","Symptoms of Anxiety Disorder",30.9666666666667
"May",2021,"Alabama","Symptoms of Anxiety Disorder",25.95
"Oct",2021,"Alabama","Symptoms of Anxiety Disorder",28.7
"Sep",2021,"Alabama","Symptoms of Anxiety Disorder",29.05
"Apr",2022,"Alabama","Symptoms of Anxiety Disorder",22.2
"Aug",2022,"Alabama","Symptoms of Anxiety Disorder",38.8
"Dec",2022,"Alabama","Symptoms of Anxiety Disorder",32.2
"Feb",2022,"Alabama","Symptoms of Anxiety Disorder",30.4
"Jan",2022,"Alabama","Symptoms of Anxiety Disorder",26.7
"Jul",2022,"Alabama","Symptoms of Anxiety Disorder",30.7
"Jun",2022,"Alabama","Symptoms of Anxiety Disorder",32.1
"Mar",2022,"Alabama","Symptoms of Anxiety Disorder",26.4
"May",2022,"Alabama","Symptoms of Anxiety Disorder",27.4
"Nov",2022,"Alabama","Symptoms of Anxiety Disorder",32.4
"Oct",2022,"Alabama","Symptoms of Anxiety Disorder",30.2
"Sep",2022,"Alabama","Symptoms of Anxiety Disorder",34.6
"Aug",2020,"Alaska","Symptoms of Anxiety Disorder",30.5
"Dec",2020,"Alaska","Symptoms of Anxiety Disorder",37.25
"Jul",2020,"Alaska","Symptoms of Anxiety Disorder",32.0666666666667
"Jun",2020,"Alaska","Symptoms of Anxiety Disorder",29.98
"May",2020,"Alaska","Symptoms of Anxiety Disorder",28.225
"Nov",2020,"Alaska","Symptoms of Anxiety Disorder",36.5
"Oct",2020,"Alaska","Symptoms of Anxiety Disorder",32.8
"Sep",2020,"Alaska","Symptoms of Anxiety Disorder",29.15
"Apr",2021,"Alaska","Symptoms of Anxiety Disorder",26.8
"Aug",2021,"Alaska","Symptoms of Anxiety Disorder",27.4
"Dec",2021,"Alaska","Symptoms of Anxiety Disorder",34.1
"Feb",2021,"Alaska","Symptoms of Anxiety Disorder",35.05
"Jan",2021,"Alaska","Symptoms of Anxiety Disorder",36.2
"Jul",2021,"Alaska","Symptoms of Anxiety Disorder",24.4
"Jun",2021,"Alaska","Symptoms of Anxiety Disorder",25.35
"Mar",2021,"Alaska","Symptoms of Anxiety Disorder",31.5
"May",2021,"Alaska","Symptoms of Anxiety Disorder",26.6
"Oct",2021,"Alaska","Symptoms of Anxiety Disorder",32.9
"Sep",2021,"Alaska","Symptoms of Anxiety Disorder",28.35
"Apr",2022,"Alaska","Symptoms of Anxiety Disorder",24.5
"Aug",2022,"Alaska","Symptoms of Anxiety Disorder",31.2
"Dec",2022,"Alaska","Symptoms of Anxiety Disorder",31.6
"Feb",2022,"Alaska","Symptoms of Anxiety Disorder",27.4
"Jan",2022,"Alaska","Symptoms of Anxiety Disorder",28.6
"Jul",2022,"Alaska","Symptoms of Anxiety Disorder",26.5
"Jun",2022,"Alaska","Symptoms of Anxiety Disorder",29.8
"Mar",2022,"Alaska","Symptoms of Anxiety Disorder",28.3
